xValue,yValue
0,4.651051897037983
1,3.914424024198706
2,3.0257366798856884
3,3.899789267005577
4,4.086940779833192
5,3.761425294140513
6,3.145958566924787
7,3.3215292934338714
8,2.992010673617957
9,2.792412524107073
10,2.206995973727749
11,2.650773754805322
12,3.1534129327089473
13,2.713339499637171
14,3.4660320865494967
15,2.786749153597821
16,2.7798221594954544
17,2.030294374152235
18,1.3100150231132393
19,1.292237920646543
20,1.4990778975573527
21,0.6420409765972592
22,0.009865926021999094
23,0.8188837312615358
24,0.6868758748404438
25,0.14926082887253678
26,0.5580120934048649
27,-0.02292653566102132
28,-0.2109568953142995
29,0.3585882304899686
30,0.09562640687575197
31,-0.6918292549685034
32,-1.082727285711767
33,-1.6825890437186515
34,-1.7965179077989322
35,-1.0615776440918325
36,-2.027714218688062
37,-1.4196918165040033
38,-1.4227657586451627
39,-1.1406603861342641
40,-1.3657006448302123
41,-2.3075574850821363
42,-1.74889838379046
43,-1.092951691627416
44,-0.17240238914754435
45,-0.01851760110495837
46,0.3490704813992238
47,0.3663841161336081
48,1.29171798255047
49,2.271750740458833
50,2.933347124041633
51,2.9635585059770477
52,3.1472629884254264
53,3.489705208226897
54,2.790062322343541
55,2.8123141851826006
56,2.430973579309856
57,1.469102549649211
58,2.2901212844434475
59,2.6153074107085357
60,2.311513914109451
61,3.173357926924534
62,3.148051926578558
63,2.4373395216882896
64,2.717003734751007
65,3.0941524465497467
66,3.5751877027729475
67,4.014782315511588
68,4.846963793287678
69,4.199965601014307
70,4.802087252798836
71,4.722864390170314
72,4.936258939526692
73,5.80008266914711
74,6.108338633524571
75,5.312153803312841
76,5.325844703354617
77,4.9598673854654525
78,4.852702131761645
79,4.4719066879488825
80,4.178860243297324
81,3.7276797734413836
82,3.551926287401292
83,3.5711375245527677
84,2.7297529084670895
85,2.8134653514187504
86,1.893287329158691
87,1.5265803701950733
88,1.2200190629778436
89,0.4758810964742217
90,0.18797915440467072
91,-0.08940414271731134
92,-0.7499904086317222
93,-0.8598828698375378
94,-0.7326219584298053
95,-0.29897177525380325
96,0.09244117373163352
97,-0.36973921928120657
98,0.558558682855852
99,1.102194925276284
100,1.3071533442144125
101,0.5044859118104998
102,0.8666225859063874
103,1.632802648600272
104,1.5709911856706222
105,1.1314697100757725
106,0.6496344845716773
107,0.3543452544161769
108,1.2636970254207385
109,0.8569617666957616
110,1.2551551859392838
111,0.7059214583099473
112,0.5219021594925897
113,0.9041438163752482
114,0.20894145269580244
115,0.6930465776730017
116,0.029539591435769008
117,0.3772970142084455
118,1.0558846630032472
119,1.424965484460635
120,2.0919781065871375
121,1.2109228250256838
122,0.541423102623348
123,0.1153618077352303
124,-0.10774484976124432
125,0.5348287604274198
126,-0.21054812137162982
127,0.6280316636036685
128,-0.19173628390004893
129,0.4255809536419486
130,0.8932820107855681
131,1.694791184415657
132,1.691372524856949
133,2.103272156216772
134,2.2065471065651985
135,1.3891638253279668
136,1.958117946131324
137,2.53625808159202
138,2.2829276704519033
139,2.8801742624035565
140,2.4703376789185736
141,1.603599957982941
142,2.1790680191889806
143,2.3576773449953152
144,1.447509709130098
145,2.4237981238264394
146,3.0523476070034095
147,3.657703497523005
148,3.5393480182486154
149,4.061121355599823
150,4.57164542393383
151,5.4115932780722105
152,4.754241175192468
153,5.239997154554505
154,5.6599596997085
155,6.232300688747413
156,7.039801711255471
157,7.003448227358363
158,6.34533860934272
159,6.729455036635567
160,7.414830265710238
161,8.405100165695167
162,8.173160631061773
163,8.234208505441456
164,7.7247450690575015
165,8.143983351223682
166,8.155017175813622
167,9.096166600908589
168,8.460340434836208
169,8.656493596071986
170,8.290618924545276
171,8.136184719091244
172,8.837135995725877
173,9.709273747035839
174,9.534564341867696
175,9.258530068305719
176,8.304286454034447
177,8.179768441965303
178,7.605382744522178
179,7.389006063665086
180,8.26210629144669
181,8.021307481313029
182,7.3835600724034745
183,7.393462446746763
184,8.048510417405716
185,7.11564744388218
186,6.537098016051372
187,6.290371221242562
188,7.22167527087791
189,7.0251772573676465
190,7.825006680867334
191,8.359422918747356
192,9.332867844996962
193,9.651846980416453
194,9.004888334464098
195,9.506809013826413
196,9.422695980671994
197,10.261052591354243
198,10.320061140437982
199,9.605878074529345
200,9.324600620139469
201,9.28368249173133
